#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,
,,25,1970-01-01T00:00:00Z,2026-04-16T23:37:40.534366523Z,2026-04-06T00:48:06.731114262Z,TCP/80,service,anomaly_high_traffic,13.227.192.36,PWRHOUSE,192.168.69.5,Nadmerny datovy prenos,10:7c:61:06:b1:fc,home

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,dest_ip,device,ip,label,mac,mode
,,26,1970-01-01T00:00:00Z,2026-04-16T23:37:40.534366523Z,2026-04-06T00:45:06.555415668Z,4,severity,anomaly_high_traffic,13.227.192.36,PWRHOUSE,192.168.69.5,Nadmerny datovy prenos,10:7c:61:06:b1:fc,home
,,26,1970-01-01T00:00:00Z,2026-04-16T23:37:40.534366523Z,2026-04-06T00:46:06.624381488Z,4,severity,anomaly_high_traffic,13.227.192.36,PWRHOUSE,192.168.69.5,Nadmerny datovy prenos,10:7c:61:06:b1:fc,home
,,26,1970-01-01T00:00:00Z,2026-04-16T23:37:40.534366523Z,2026-04-06T00:48:06.731114262Z,4,severity,anomaly_high_traffic,13.227.192.36,PWRHOUSE,192.168.69.5,Nadmerny datovy prenos,10:7c:61:06:b1:fc,home

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,dest_ip,device,ip,label,mac,mode
,,27,1970-01-01T00:00:00Z,2026-04-16T23:37:40.534366523Z,2026-04-06T00:45:06.555415668Z,2538.15,total_mb,anomaly_high_traffic,13.227.192.36,PWRHOUSE,192.168.69.5,Nadmerny datovy prenos,10:7c:61:06:b1:fc,home
,,27,1970-01-01T00:00:00Z,2026-04-16T23:37:40.534366523Z,2026-04-06T00:46:06.624381488Z,945.32,total_mb,anomaly_high_traffic,13.227.192.36,PWRHOUSE,192.168.69.5,Nadmerny datovy prenos,10:7c:61:06:b1:fc,home
,,27,1970-01-01T00:00:00Z,2026-04-16T23:37:40.534366523Z,2026-04-06T00:48:06.731114262Z,2582.0699999999997,total_mb,anomaly_high_traffic,13.227.192.36,PWRHOUSE,192.168.69.5,Nadmerny datovy prenos,10:7c:61:06:b1:fc,home
,,28,1970-01-01T00:00:00Z,2026-04-16T23:37:40.534366523Z,2026-04-06T00:45:06.555415668Z,1.64,up_mb,anomaly_high_traffic,13.227.192.36,PWRHOUSE,192.168.69.5,Nadmerny datovy prenos,10:7c:61:06:b1:fc,home
,,28,1970-01-01T00:00:00Z,2026-04-16T23:37:40.534366523Z,2026-04-06T00:46:06.624381488Z,0.74,up_mb,anomaly_high_traffic,13.227.192.36,PWRHOUSE,192.168.69.5,Nadmerny datovy prenos,10:7c:61:06:b1:fc,home
,,28,1970-01-01T00:00:00Z,2026-04-16T23:37:40.534366523Z,2026-04-06T00:48:06.731114262Z,1.18,up_mb,anomaly_high_traffic,13.227.192.36,PWRHOUSE,192.168.69.5,Nadmerny datovy prenos,10:7c:61:06:b1:fc,home

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,dest_ip,device,ip,label,mac,mode
,,29,1970-01-01T00:00:00Z,2026-04-16T23:37:40.534366523Z,2026-04-05T15:00:16.830089608Z,updates.optionsplus.logitechg.com,domain,anomaly_high_traffic,13.227.192.39,PWRHOUSE,192.168.69.5,Nadmerny datovy prenos,10:7c:61:06:b1:fc,home
,,29,1970-01-01T00:00:00Z,2026-04-16T23:37:40.534366523Z,2026-04-06T13:46:28.543488095Z,updates.optionsplus.logitechg.com,domain,anomaly_high_traffic,13.227.192.39,PWRHOUSE,192.168.69.5,Nadmerny datovy prenos,10:7c:61:06:b1:fc,home

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,dest_ip,device,ip,label,mac,mode
,,30,1970-01-01T00:00:00Z,2026-04-16T23:37:40.534366523Z,2026-04-05T15:00:16.830089608Z,202.71,down_mb,anomaly_high_traffic,13.227.192.39,PWRHOUSE,192.168.69.5,Nadmerny datovy prenos,10:7c:61:06:b1:fc,home
,,30,1970-01-01T00:00:00Z,2026-04-16T23:37:40.534366523Z,2026-04-06T13:46:28.543488095Z,202.5,down_mb,anomaly_high_traffic,13.227.192.39,PWRHOUSE,192.168.69.5,Nadmerny datovy prenos,10:7c:61:06:b1:fc,home

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,dest_ip,device,ip,label,mac,mode
,,31,1970-01-01T00:00:00Z,2026-04-16T23:37:40.534366523Z,2026-04-05T15:00:16.830089608Z,TCP/443,service,anomaly_high_traffic,13.227.192.39,PWRHOUSE,192.168.69.5,Nadmerny datovy prenos,10:7c:61:06:b1:fc,home
,,31,1970-01-01T00:00:00Z,2026-04-16T23:37:40.534366523Z,2026-04-06T13:46:28.543488095Z,TCP/443,service,anomaly_high_traffic,13.227.192.39,PWRHOUSE,192.168.69.5,Nadmerny datovy prenos,10:7c:61:06:b1:fc,home

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,dest_ip,device,ip,label,mac,mode
,,32,1970-01-01T00:00:00Z,2026-04-16T23:37:40.534366523Z,2026-04-05T15:00:16.830089608Z,4,severity,anomaly_high_traffic,13.227.192.39,PWRHOUSE,192.168.69.5,Nadmerny datovy prenos,10:7c:61:06:b1:fc,home
,,32,1970-01-01T00:00:00Z,2026-04-16T23:37:40.534366523Z,2026-04-06T13:46:28.543488095Z,4,severity,anomaly_high_traffic,13.227.192.39,PWRHOUSE,192.168.69.5,Nadmerny datovy prenos,10:7c:61:06:b1:fc,home

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,dest_ip,device,ip,label,mac,mode
