#group,false,false,true,true,false,false,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string,string,string
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,mac,mode,vendor
,,0,1970-01-01T00:00:00Z,2026-04-16T23:37:29.884423418Z,2026-04-04T20:03:49.403855134Z,10.4.194.126,ip,anomaly_unknown_mac,00:e0:4c:bc:2f:82,home,REALTEK SEMICONDUCTOR CORP.

#group,false,false,true,true,false,false,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string,string,string,string
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,mac,mode,vendor
,,1,1970-01-01T00:00:00Z,2026-04-16T23:37:29.884423418Z,2026-04-04T20:03:49.403855134Z,3,severity,anomaly_unknown_mac,00:e0:4c:bc:2f:82,home,REALTEK SEMICONDUCTOR CORP.

#group,false,false,true,true,false,false,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string,string,string
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,mac,mode,vendor
,,5,1970-01-01T00:00:00Z,2026-04-16T23:37:29.884423418Z,2026-03-30T16:12:35.583355077Z,3,severity,anomaly_unknown_mac,08:00:27:b6:5c:c2,PCS Computer Systems GmbH
,,5,1970-01-01T00:00:00Z,2026-04-16T23:37:29.884423418Z,2026-03-30T16:13:21.679179862Z,3,severity,anomaly_unknown_mac,08:00:27:b6:5c:c2,PCS Computer Systems GmbH
,,5,1970-01-01T00:00:00Z,2026-04-16T23:37:29.884423418Z,2026-03-30T16:13:58.679365496Z,3,severity,anomaly_unknown_mac,08:00:27:b6:5c:c2,PCS Computer Systems GmbH
,,5,1970-01-01T00:00:00Z,2026-04-16T23:37:29.884423418Z,2026-03-30T16:14:33.683956052Z,3,severity,anomaly_unknown_mac,08:00:27:b6:5c:c2,PCS Computer Systems GmbH
,,5,1970-01-01T00:00:00Z,2026-04-16T23:37:29.884423418Z,2026-03-30T16:16:01.788428403Z,3,severity,anomaly_unknown_mac,08:00:27:b6:5c:c2,PCS Computer Systems GmbH
,,5,1970-01-01T00:00:00Z,2026-04-16T23:37:29.884423418Z,2026-03-30T16:16:50.812633588Z,3,severity,anomaly_unknown_mac,08:00:27:b6:5c:c2,PCS Computer Systems GmbH
,,5,1970-01-01T00:00:00Z,2026-04-16T23:37:29.884423418Z,2026-03-30T16:17:25.785822415Z,3,severity,anomaly_unknown_mac,08:00:27:b6:5c:c2,PCS Computer Systems GmbH
,,5,1970-01-01T00:00:00Z,2026-04-16T23:37:29.884423418Z,2026-03-30T16:19:00.92825971Z,3,severity,anomaly_unknown_mac,08:00:27:b6:5c:c2,PCS Computer Systems GmbH
,,5,1970-01-01T00:00:00Z,2026-04-16T23:37:29.884423418Z,2026-03-30T16:21:57.057612642Z,3,severity,anomaly_unknown_mac,08:00:27:b6:5c:c2,PCS Computer Systems GmbH
,,5,1970-01-01T00:00:00Z,2026-04-16T23:37:29.884423418Z,2026-03-30T16:24:01.146954969Z,3,severity,anomaly_unknown_mac,08:00:27:b6:5c:c2,PCS Computer Systems GmbH
